,Town,Unnamed: 0,Municipality,Number of Taxpayers,Total Retail Sales of Goods,Total Tax Due(Excluding Tax at 9.35% Rate) ,Tax Due At 6%,Tax Due At 6.35%,Tax Due at 7%
87,Naugatuck,87,NAUGATUCK (088),785,512504006.0,10416737.0,4924720.0,5491038.0,978.0
88,New,88,NEW BRITAIN (089),1391,742738598.0,20637804.0,9786014.0,10834195.0,17594.0
89,New,89,NEW CANAAN (090),831,1673741553.0,9449923.0,4269452.0,4918113.0,262359.0
90,New,90,NEW FAIRFIELD (091),326,53199055.0,1683115.0,772340.0,910775.0,0.0
91,New,91,NEW HARTFORD (092),349,59488398.0,1439221.0,690055.0,749044.0,123.0
92,New,92,NEW HAVEN (093),2574,4035362238.0,125755725.0,59845966.0,65866523.0,43236.0
93,New,93,NEW LONDON (095),663,426467292.0,15067737.0,7202409.0,7620955.0,244373.0
94,New,94,NEW MILFORD (096),1217,283773987.0,10588212.0,4987141.0,5577069.0,24002.0
95,Newington,95,NEWINGTON (094),1079,760675440.0,24432173.0,11069077.0,13363025.0,71.0
96,Newtown,96,NEWTOWN (097),1169,323619363.0,7551350.0,3494243.0,4048542.0,8565.0
97,Norfolk,97,NORFOLK (098),140,11673118.0,371337.0,181782.0,189554.0,0.0
98,North,98,NORTH BRANFORD (099),581,155067795.0,6278949.0,3303933.0,2973148.0,1867.0
99,North,99,NORTH CANAAN (100),47,5429779.0,248953.0,116836.0,132117.0,0.0
100,North,100,NORTH HAVEN (101),1219,1933828695.0,88012705.0,41940349.0,46055443.0,16913.0
101,North,101,NORTH STONINGTON (102),229,40163957.0,1884695.0,815467.0,1065360.0,3868.0
102,Norwalk,102,NORWALK (103),3394,3860420562.0,121606102.0,60394459.0,60921917.0,289726.0
103,Norwich,103,NORWICH (104),940,516540840.0,18697976.0,8846285.0,9821083.0,30607.0
104,Old,104,OLD LYME (105),466,213896503.0,3253619.0,1507124.0,1742737.0,3758.0
105,Old,105,OLD SAYBROOK (106),728,400358944.0,11500458.0,5230592.0,6211291.0,58576.0
